image_id,image_path,extracted_text,genre,character_count,caption,spoiler_label,,,,,,,
0003e2f2-037b-4cfe-84d8-1aa5764dcbc1,cpp\0003e2f2-037b-4cfe-84d8-1aa5764dcbc1.jpg,"RON, apr 7o0K, ON A NEW LOOK WHEN THE ANCIENT ART OF AM. IN THE SCENE ANG MIKE MCCANN BECAME THE MOST 7G. ae Ws OUTFIT FOR BOWS AN ARROWS WERE OLP FRIENCS Bi READ ea AMAZIN cage se OF THE ae OF ae ee aaa Monenvene OW THE KOREAN FRONT A GL PUNE 4 LaNeLY QUTZOST. SURE WISH THIS TRICK WOULD ENOZ FEEL LIKE VE BEEN OUT 7? HERE FOR A MONTHS BUT MY RELIEF SHOULD Q 8 ALONG ANY MINUTE NOW,",Action,1,Angie MCCANN BECAME THE MOST 7G. ae Ws OUTFIT FOR BOWS AN ARROWS WERE OLP FRIENCS Bi READ ea AMAZIN cage se OF THE a,non-spoiler,,,,,,,
002a6441-5424-4f66-8998-d74a052b92ec,cpp\002a6441-5424-4f66-8998-d74a052b92ec.jpg,"YES, T KNEW THAT. JUST AS I KNOW HER SON AFTER THE MISTRESS OEO EVERY FOOT OF GROUND ON THIS WENT AWAY WHAT ONE NIGHT WE HEARD A AFTER. .. AFTER HAPPENED? SCREAM AND WHEN WE EAN a IT HAPPENED TELL ME, GOT TO HER. .. SHE WAS EXPLANATION! WE WAS MAN AFTER DEAD. HEART FAILURE. LKNOW HER 4 WHAT AS IF. .. AS 1F SHE SON! HER Ze STAYSHE DION'T HAPPENED? A, BEEN FRGHTENED SON COULD ere BELIEVE UNTIL IT re TELL ME! qua TO DEATH! WAS TOO LATE ey TO OEATH ONE MORE QUESTION! NO TWO! TWO MORE FRANK GORDON KNEW THEN BUT His miND STILL SINETION Guar Map 10 BE ANSWEREO. THE SOUGHT LOGICA HE FOUGHT WITH HIMSELF STEAPIED FIRST CAME FROM FRANK GORDONS LIPS INA THE MISTRESS Te eur YOU. .. YOU SAID. .. SPRING ON THE NI FOR SALE 7 BECAUSE WAS AN OLD ou y SHE DIED WHEN. . OF MAY 3RD THE. .. WOMAN SHE, WHEN OID IT. .. THE GHOST HAS YOUR MISTRESS TO DID NOT BELIEVE HAPPEN 7 NOT RETURNED DEATH 7 BECAUSE IT. .. ANDO SHE MUST SINCE THEN 17'S HAUNTED YOU KNOW, DONT YOU YOU'RE SOMETIMES, AFRAID OF ME BUT I'VE GOT 2 THE SS, FRANK GORDON TO HEAR IT FOR THE SAKE OF wes AWAKES AT MY SANITY FOR THE SALVATION NIGHT. .. NOT SOUL CAN WANDER DISTANT PLACES WHILE THE BODY THERE 18 SO MUCH MEN OO NOT UNDERSTAND PERHAPS. ..",Mystery,3,"The GHOST has your MISTRESS TO DID NOT BELIEVE HAPPEN 7 NOT RETURNed DEATH 7 BECAUSE IT. ANDO SHE MUST SINCE THEN 17'S HAUNTED YOU KNOW,",spoiler,,,,,,,
0036c867-62cb-4e1e-9fa7-050aa96ee23a,cpp\0036c867-62cb-4e1e-9fa7-050aa96ee23a.jpg,PAGE 48 SCIENCE COMICS DEAD SUDDENLY SHE SPIES THEM BORGIA AND RANDLER GET UP TO FLEE OUT OF THE CIRCUS. N,Comedy,2,BORGIA AND RANDLER GET UP TO FLEE OUT of the CIRCUS. SUDDENLY SHE SPIES THEM BORGia and RANDLER get up to FLEe Out of theCIRCUS,spoiler,,,,,,,
005e812d-f766-4827-89fe-3cd3da220a6b,cpp\005e812d-f766-4827-89fe-3cd3da220a6b.jpg,"WELL, HELLO. RS. MOORE ! Dang pow TOWN? APTER OVER A HUN HAO GEEN TAKEN SelOD! Oe coe MOU LET THEM SEE THE MINE You FOOL. THAT. NS EVERY ey BUYING STock, RICHARD JIT alos GOoD BIT T DON'T TRusT 3. PAUL CAMERON HE! SEWING EVERYONE VRANWAA STOCKS! ORED THOUSAND DOLLARS Si J. PAUL CAMERON THAT HIS ee HAD THE FAT IS IN THE BETTER Too! THEY KNOW THE STOCK 1S WORTHLESS THEY WON'T SEE ME WNGH. oes NING f KEEP GACK T WARN YOU TSA cee MRS. MOORE EI DON'T CARE MUCH BUT IT AAAY FIT PAYS OFF OR. RICHARD Y IT JUST WANT TO MAKE SURE HE HASN'T MIS REPRESENTED! T'tl ee AG eee CAMERON GOT OUT FASTHE TRIED WITHDRAW THE MONEY eee SWINDIED Bur THE GOVERNMENT WAS At SO. THE FABULOUS BesMores. Bue rie SELE WITHOUT CAPITAL. .. TCAN GET STARTED AGAIN S LIVE Silt. GOT THE CAR ANO SOME CORT ODEN f YOU RUINED THE . .. UGH",Drama,2,"Every ey BUYING STock, RICHARD JIT alos GOoD BIT T DON'T TRusT 3. PAUL CAMERON HE! SEWING EVERYONE VRANWAA STOCK",spoiler,,,,,,,
0083f2e8-6aa2-443c-a662-7f5d5017b20d,cpp\0083f2e8-6aa2-443c-a662-7f5d5017b20d.jpg,"S JACK AND PETER STRONG JAC ARE EXPLORING A SOUTH Pye OF RARE FAUNA AND FLORA BUT, MYHAT, PETER! THE RIVERS BEGINNING FB TO FLOW OPHIW y ee Zz Mis NTO THAT ies Ee 7 THE BoAT'tL BE DASHED To PIECES Wy fa A AT THIS PACE A",Action,2,The RIVERS BEGINNING FB TO FLOW OPHIW y ee Zz Mis NTO THAT ies Ee 7 THE BoAT'tL BE DASHED To PIECES Wy fa A AT THIS P,non-spoiler,,,,,,,
00b3ddf7-9e95-47fe-b01e-e2f909f3cf0d,cpp\00b3ddf7-9e95-47fe-b01e-e2f909f3cf0d.jpg,"IN THE FEW MOMENTS WHICH IT TOOK THE POLICE TO REACH THE SCENE, THE KILLER MOB VANISHED THE POLICE FOUND THREE SEMI HYSTERICAL PEOPLE AND A CORPSE. IT WAS THAT'S ONE HORRIBLE, INSPECTOR. THE WOMAN SHE HAD NO REASON TO SHOOT HAL! WHY DID SHE DO IT? DON'T MIND SOI'VE HEARD, NO, A WOMAN OF THE THINGS WE'VE GOT TO FIND Our! NOW, SUPPOSE YOU TELL ME ALL YOU CAN REMEMBER. ESPECIALLY THEN THE WOMAN THE INFORMATION SUPPLIED BY THE THREE WITNESSES AND CAREFULLY NOTED By INSPECTOR CHARLES REGAN'S SECRETARY, JILL, WAS PITIFULLY MEAGER. SO MEAGER THAT AFTERWARDS. .. UNLESS SHE WAS BOSS SENSE. THREE MEN OF THE MOB, BUT L AND A WOMAN PULL NEVER YET HEARD A PERFECT JOBAND OF A WOMAN BOSS ING A MOB AND STILL TAGGING ALONG ay ON THE JOBS. IT DOESN'T MAKE COMMITS MURDER! WOULDN'T JILL EVER BUT WHY DO EVEN ZI KNOW THAT. MAYBE SINCE SHE YOU SAY MAYBE YOU'VE GOT SOMETHING BECAME MY IT WASN'T A THERE, JILL. THEN THE SECRETARY, WOMAN, WOMAN WHO THIS 1S THE IT WOULD SHE'S WANTED TO PLAY . DETECTIVE WAS EITHER COLOR MAN, INSPECTOR. BE. THAT I'M SURE OF TRIGGER IT. WITH RED AS A HAIR I'M THAT A WOMAN BLIND WOMAN 2 AND WE'VE SURE THIS WITH FLAMING RED HAIR WOULD WEVER WEAR A RED lids Ll 4 Sot fy uy ft b 2 iy W 7 y oN ft 9 My f q Benth 5 ny iy os 4 a MM Y Lif WILLY DANE WAS A KNOWN KILLER. BUT DISCO DIFFERENT THINGS. DESPITE ALL THE EFFORTS OF THE POLICE, WILLY CONTINUED HIS ACTIVITIES. PASS! WE'LL GET HIM FROM BEHIND, I v4 ERING HIS IDENTITY AND LOCATING WILLY WERE TWO VERY BEEN TRYING THROUGH OUR TO GET THOSE FINGERS A WITNESSES TO Ses DOZEN TIMES! , IDENTIFY A TA 86 BUT AT LEAST WE'VE feu GOT A LEAD ON HIM ALL RIGHT, BUDDY, WELL TAKE THE BRIEFCASE WE NEED THE DOUGH INSIDE MORE THAN YOUR BANK DOES.",Crime,5,Three SEMI HYSTERICAL people and a CORPSE were found dead. The killer was a woman who had no reason to shoot half the crowd.,spoiler,,,,,,,
00c79357-2f68-4f82-9164-cafe381a6e9b,cpp\00c79357-2f68-4f82-9164-cafe381a6e9b.jpg,"Mysteries of UNEXPLORED WORLDS ALMOST HALF A MILLION MEN BECAME I WOULD LIKE TO IBLE AS AUTO PLANTS SHUT DOWN. .. BUY A NEW CAR. .. 2 READ THAT IT iS A MARNELOUS, . AN UTTER FALSEHOOD THE NEW MODEL IS REALLY NO BETTER THAN LAST YEAR'S YOUR OLD ONE iS GOO ENOUGH THE ONLY BUSINESS MOVING AT ALL I HOPE YOU'LL LIKE THEM, . . THEY'RE NE NECESSITIES, NOT AS GOOD AS MN LOOKS",Mystery,3,iReport.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots from around the world. Submit your best shots for next week.,non-spoiler,,,,,,,
00dc1cb3-dc26-4602-a599-17a6a6603234,cpp\00dc1cb3-dc26-4602-a599-17a6a6603234.jpg,"Mysteries of UNEXPLORED WORLDS 4 ASTRANGE FEELING OF DOOM HUNG ONER JASON WELLES AS HE DROVE UP THE DE SERTED ROAD ABOVE THE OCEAN INLETS. .. A HEANINESS IN HIS CHEST, BLURRED NISION, ., INTENSE DEPRESSION. . .ALL OF THEM WERE SYMPTOMS OF A TERRIBLE FATE AWAITING HIM THEN, HE SAW BLACKNESS IN THE ROAD AHEAD. . .HE COULDN'T SEE THE CURNE. .. AND. .. A",Mystery,0,JASON WELLS felt a strange heaviness in his chest as he drove above the OCEAN INLETS. He then saw blackness in the road ahead and couldn't see the CURNE.,non-spoiler,,,,,,,
00dcb052-8792-4ea6-838e-266039ea18e7,cpp\00dcb052-8792-4ea6-838e-266039ea18e7.jpg,"LATER, TWICE KNOCKED OUT HARRY WILLS. ZB NEARS OF FIGHTING, SAMHAD 640 SA OUTS, HE WAS KMOCKED OUT ONLY ONCE, THAT'S THE RECEIPT HARRY WILLS, INDANAMA, FOR OUR FIGHT IN PANAMA. JE Y HOW'D IT JUST FORGOT TO DUCK. APPEN, SAM? BUT WANTS TO FIGHT 4 THAT WILLS BOY AGAIN, SAM, IGOT ONLY ENOUGH WHY SHAKE HANDS Now, JTHISIS THE A FILM'FOR EIGHT ROUNDS. Si BAM? THIS AIN'T THE START OF THE STH FONT YOU WORRY, CHIEF. J were er 7 BOY, THIS IS THE pee OU LL NEED LAST ROUND. ENTLY, TWO REPORTERS WENT TO VISIT BLIND OLD SAMINHIS LITTLE ROOMIN DON'T NOBODY NEED TO FEEL MHATE TO GO INSIDE. SAM MUST. BEAN EMBITTERED OLD MARL SORRY FOR OLD SAMI HAD ME, WANDICAPPED BY BLINDNESS, SAM 1S STILL AS COURAGEOUS AS HE WAS THE DAY HEFIRST PUT ONA PAIR OF BOXING GLOVES.",Action,1,"NEW: SAM HAD 640 SA OUTS, HE WAS KMOCKED OUT ONLY ONCE, THAT'S THE RECEIPT HARRY WILLS, INDANAMA, FOR OUR FIGHT IN PANAMA. NEW: SAM",spoiler,,,,,,,
00e8f49c-5859-492d-9a0e-dcb615bdae4c,cpp\00e8f49c-5859-492d-9a0e-dcb615bdae4c.jpg,"WHERE PRIMITIVE PEOPLE LIVE THEY WILL APPRECIATE THE TYPE OF WORK WHICH APPEALS ONLY To THOSE INSTINCTS ARE BASIC AND WHOSE MINDS ARE NOT CROWDED WITH THE PERFECT SCULPTURE! HEAVENS WILL CAUSE US TO. FAMINE! c ont Ss Wie ! re HEN MV VY Prepare FoR NO ry THE LONG TREK Y WE HAVE JOURNEYED FAR ENOUGH FOR THE FIRST DAY, NY PEOPLE! TOMORROW WE WILL REACH THE CLIFF. MAKE YOUR ENCAMPMENT KHERETONIGHT WE MUST REST WELL FOR",Action,1,"NEW: Make your ENCAMPMENT KHERETONIGHT. NEW: Prepare FoR NO ry THE LONG TREK Y. NEW. We have JOURNEYED FAR ENOUGH FOR THE FIRST DAY,",non-spoiler,,,,,,,
